key,term
1005588,ROAD SIGNS AND SIGNALS
1001647,DIESEL LOCOMOTIVES
1006136,SPEED LIMITATION
1002878,HIGH-SPEED TRAINS
1005361,RAILWAY SIDINGS
1005659,SAFETY DEVICES
1004909,PIGGYBACK TRANSPORT
1005920,SKATES AND SKATEBOARDS
1006528,TIRES
1003218,INLAND TRANSPORT
1005602,ROLLING STOCK
1001763,DRIVER TRAINING
1006719,TRUCKS
1004337,NATURAL GAS VEHICLES
1000469,AUTOMOBILES
1000944,CHILD RESTRAINT SYSTEMS
1006615,TRAFFIC ACCIDENTS
1005359,RAILWAY NETWORKS
1004254,MOTOR VEHICLE INSPECTION
1002534,FREIGHT TRAINS
1006200,STEERING GEAR
1006620,TRAFFIC SURVEYS
1000591,BICYCLES
1001945,ELECTRIC LOCOMOTIVES
1005583,ROAD MACHINERY
1005358,RAILWAY MANAGEMENT
1001152,COMMUTING
1002863,HELMETS
1000695,BRIDGE CONSTRUCTION
1005401,REFLECTORS
1005362,RAILWAY TRAFFIC
1004577,OFF-ROAD VEHICLES
1004763,PAVEMENTS
1006930,WARNING DEVICES
1000468,AUTOMOBILE PARKING
1006739,TUNNELS
1003746,LIGHT DUTY VEHICLES
1006619,TRAFFIC SAFETY
1004251,MOTOR VEHICLE EQUIPMENT
1001106,COMMERCIAL VEHICLES
1005365,RAILWAY YARDS
1007019,WINDSCREENS
1000682,BRAKES
1005268,PUBLIC TRANSPORT
1002882,HIGHWAYS
1004259,MOTOR VEHICLE STANDARDS
1005589,ROAD TRAFFIC
1004250,MOTOR VEHICLE EMISSIONS
1004261,MOTORCYCLES
1006617,TRAFFIC FLOW
1005771,SEAT BELTS
1006648,TRANSPORT CORRIDORS
1005355,RAILWAY ACCIDENTS
1006623,TRAILERS
1000696,BRIDGES
1001765,DRIVING
1004256,MOTOR VEHICLE REGISTRATION
1006704,TROLLEY BUSES
1000741,BUSES
1002881,HIGHWAY ENGINEERING
1005585,ROAD MATERIALS
1002822,HEAD RESTRAINTS
1000321,ANTI-THEFT DEVICES
1005660,SAFETY EDUCATION
1004788,PEDESTRIANS
1000945,CHILD SAFETY
1005582,ROAD CONSTRUCTION
1005584,ROAD MAPS
1006616,TRAFFIC CONTROL
1006827,URBAN TRANSPORT
1001764,DRIVERS
1003006,HYBRID VEHICLES
1000600,BILLS OF LADING
1006545,TOLL ROADS
1005833,SERVICE STATIONS
1005356,RAILWAY ENGINEERING
1005587,ROAD RAGE
1003248,INTELLIGENT TRANSPORT SYSTEMS
1004257,MOTOR VEHICLE REGISTRATION PLATES
1005360,RAILWAY SAFETY
1006269,SUBWAYS
1005591,ROAD TRANSPORT FACILITATION
1000188,AIR BAGS
1002560,FUEL TANKS
1005366,RAILWAYS
1004258,MOTOR VEHICLE SEATS
1006093,SPACE LAW
1004676,OUTER SPACE
1006086,SPACE DEBRIS
1004651,ORBITS
1006088,SPACE ENVIRONMENT
1006098,SPACE RESEARCH
1006100,SPACE SCIENCES
1006085,SPACE COMMUNICATION
1006111,SPACECRAFT PROPULSION
1006099,SPACE SCIENCE POLICY
1002665,GEOSTATIONARY ORBIT
1005710,SATELLITES
1005398,REDUCED GRAVITY EFFECTS
1003641,LAUNCH COMPLEXES
1004092,MICROGRAVITY
1006090,SPACE FLIGHT
1002690,GLOBAL POSITIONING SYSTEMS
1006097,SPACE PROBES
1000429,ASTRODYNAMICS
1005708,SATELLITE ORBITS
1002222,EXTRATERRESTRIAL LIFE
1006094,SPACE MEDICINE
1006089,SPACE EXPLORATION
1005473,REMOTE SENSING
1006103,SPACE TECHNOLOGY
1006777,UNIDENTIFIED FLYING OBJECTS
1006101,SPACE STATIONS
1006108,SPACECRAFT
1005475,REMOTE SENSORS
1002766,GROUND SUPPORT SYSTEMS
1006083,SPACE CARTOGRAPHY
1006102,SPACE SURVEILLANCE
1006087,SPACE EDUCATION
1006109,SPACECRAFT ACCIDENTS
1001811,EARTH STATIONS
1006084,SPACE COLONIES
1000506,BALLOONS
1004230,MOON LANDING
1006096,SPACE OBJECTS
1006082,SPACE BIOLOGY
1003883,MANNED SPACE FLIGHT
1006110,SPACECRAFT LAUNCHINGS
1006095,SPACE OBJECT REGISTRATION
1005474,REMOTE SENSING CENTRES
1003355,INTERPLANETARY VOYAGES
1006091,SPACE INDUSTRIALIZATION
1005709,SATELLITE TRACKING
1006104,SPACE TRANSPORTATION
1005598,ROCKETS
1001627,DEVELOPMENT PERSONNEL
1000009,ABSORPTIVE CAPACITY
1001632,DEVELOPMENT PROJECTS
1001847,ECONOMIC DEPENDENCE
1005239,PUBLIC-PRIVATE PARTNERSHIPS
1003789,LOCAL DEVELOPMENT
1005631,RURAL DEVELOPMENT
1001857,ECONOMIC INTEGRATION
1001625,DEVELOPMENT INDICATORS
1001870,ECONOMIC RIGHTS AND DUTIES OF STATES
1002408,FOCAL POINTS
1005806,SELF-HELP
1001879,ECONOMIC ZONING
1000717,BUILD-OPERATE-TRANSFER PROJECTS
1005429,REGIONAL DEVELOPMENT
1005437,REGIONAL PLANNING
1002188,EXPERTS
1005517,RESOURCES MOBILIZATION
1001633,DEVELOPMENT RESEARCH
1005181,PROJECT EVALUATION AND REVIEW TECHNIQUE
1001635,DEVELOPMENT TRENDS
1006414,TECHNICAL COOPERATION AMONG DEVELOPING COUNTRIES
1003303,INTERNATIONAL ECONOMIC LAW
1002966,HUMAN DEVELOPMENT
1000180,AID PROGRAMMES
1006413,TECHNICAL COOPERATION
1001626,DEVELOPMENT MODELS
1001615,DEVELOPMENT
1005392,RECONSTRUCTION
1003232,INSTITUTION BUILDING
1001634,DEVELOPMENT STRATEGIES
1005016,POPULAR PARTICIPATION
1000797,CAPACITY BUILDING
1005625,RURAL-URBAN DIFFERENTIALS
1001878,ECONOMIC UNIONS
1001618,DEVELOPMENT ASPECTS
1001630,DEVELOPMENT POLICY
1001628,DEVELOPMENT PLANNING
1000077,ADVISORY SERVICES
1003251,INTER-FIRM COOPERATION
1001844,ECONOMIC COOPERATION AMONG DEVELOPING COUNTRIES
c_f6cfac1b,STATISTICAL CAPACITY
1001629,DEVELOPMENT PLANS
1001851,ECONOMIC GAP
1006059,SOUTH-SOUTH RELATIONS
1001845,ECONOMIC COUNCILS
1001631,DEVELOPMENT POTENTIAL
1001843,ECONOMIC COOPERATION
c_8ed0dae1,RECOVERY
1005428,REGIONAL COOPERATION
1005171,PROGRAMME OWNERSHIP
c_b9a3cc34,STAKEHOLDER ENGAGEMENT
1001835,ECONOMIC AGREEMENTS
1003304,INTERNATIONAL ECONOMIC RELATIONS
1003258,INTERDEPENDENCE
1001084,COLLECTIVE SELF-RELIANCE
1001652,DIGITAL DIVIDE
c_950d023c,MEANS OF IMPLEMENTATION (DEVELOPMENT)
1005809,SELF-RELIANCE
1001841,ECONOMIC CONVERGENCE
1003380,INVESTMENT FOLLOW-UP
1001719,DIVIDEND FOR DEVELOPMENT
1001848,ECONOMIC DEVELOPMENT
1001617,DEVELOPMENT ADMINISTRATION
1005779,SECTORAL PLANNING
1000178,AID COORDINATION
1001686,DISARMAMENT-DEVELOPMENT LINK
1003302,INTERNATIONAL ECONOMIC AND SOCIAL POLICY
1005049,POST-CONFLICT RECONSTRUCTION
1000529,BANTUSTANS
1004370,NEOCOLONIALISM
1002464,FOREIGN INTERESTS
1006890,VISITING MISSIONS
1006723,TRUST TERRITORIES
1001091,COLONIAL COUNTRIES
1000336,APARTHEID
1000316,ANTI-APARTHEID MOVEMENTS
1001214,CONDOMINIUM
1004948,PLEBISCITES
1001538,DECOLONIZATION
1003876,MANDATES
1005213,PROTECTORATES
1004457,NON-SELF-GOVERNING TERRITORIES
1006724,TRUSTEESHIP AGREEMENTS
1005804,SELF-DETERMINATION OF PEOPLES
1001092,COLONIALISM
1004324,NATIONAL LIBERATION MOVEMENTS
1004415,NINETEENTH CENTURY
1005476,RENAISSANCE
1004101,MIDDLE AGES
1006755,TWENTIETH CENTURY
1006756,TWENTY-FIRST CENTURY
1001475,CYTOLOGY
1000627,BIOTECHNOLOGY
1000623,BIOMETRY
1004731,PARASITOLOGY
1003906,MARINE BIOLOGY
1000605,BIOENGINEERING
1000606,BIOETHICS
1003740,LIFE
1001726,DNA
1003744,LIFE SCIENCES
1002543,FRESHWATER BIOLOGY
1003547,LABORATORY ANIMALS
1000625,BIOSAFETY
1000674,BOTANY
1002162,EVOLUTION
1000620,BIOMASS
1002299,FERTILIZATION
1000602,BIOCHEMISTRY
1003040,ICHTHYOLOGY
1002626,GENETICALLY MODIFIED ORGANISMS
1000619,BIOLOGY
1002292,FERMENTATION
1000293,ANIMAL EXPERIMENTATION
1002057,ENTOMOLOGY
1004082,MICROORGANISMS
1000616,BIOLOGICAL RESEARCH
1007136,ZOOLOGY
1004095,MICROPHOTOGRAPHY
1006529,TISSUE CULTURE
1004083,MICROBIOLOGY
1006336,SYMBIOSIS
1000485,BACTERIOLOGY
1004202,MOLECULAR BIOLOGY
1004009,MEDICAL BOTANY
1002126,ESTUARINE BIOLOGY
1000290,ANIMAL BEHAVIOUR
1004671,OSMOSIS
1004035,MEMBRANES
1000375,ARCTIC REGION
1004961,POLAR REGIONS
1000311,ANTARCTICA
1001350,COUNTERPART PERSONNEL
1005184,PROJECT FORMULATION
1005072,PRE-INVESTMENT STUDIES
1005178,PROJECT ACTIVITIES
1001357,COUNTRY TEAMS
1005191,PROJECT SUBCONTRACTING
1005183,PROJECT FINANCE
1001352,COUNTRY AGREEMENTS
1005182,PROJECT EXPENDITURES
1003255,INTERCOUNTRY PROGRAMMES
1005439,REGIONAL PROGRAMMES
1005510,RESIDENT COORDINATORS
1005180,PROJECT EVALUATION
1003358,INTERREGIONAL PROGRAMMES
1006302,SUPPORT COST REIMBURSEMENT
1002272,FEASIBILITY STUDIES
1005449,REHABILITATION PROJECTS
1005190,PROJECT PREPARATION
1005187,PROJECT MANAGEMENT
1005189,PROJECT PERSONNEL
1004320,NATIONAL EXECUTION OF PROJECTS
1004633,OPERATIONAL ACTIVITIES
1004911,PILOT PROJECTS
1003788,LOCAL COST FINANCING
1005188,PROJECT MONITORING
1006126,SPECIAL REPRESENTATIVES
1002691,GLOBAL PROGRAMMES
1005179,PROJECT APPRAISAL
1005780,SECTORAL SUPPORT
1002312,FIELD OFFICES
1003103,INDICATIVE PLANNING FIGURES
1005186,PROJECT IMPLEMENTATION
1003872,MANAGEMENT SERVICES
1001354,COUNTRY PROGRAMMES
1005185,PROJECT IDENTIFICATION
1006417,TECHNICAL FIELD ADVISERS
1002314,FIELD VISITS
1002171,EXECUTING AGENCIES
1000046,ACTIVITIES
1007070,WORK PROGRAMME
1005167,PROGRAMME EVALUATION
1004028,MEDIUM-TERM PLAN
1005168,PROGRAMME EXPENDITURES
1005172,PROGRAMME PLANNING
1004029,MEDIUM-TERM PLANNING
1004549,OBSOLETE ACTIVITIES
1001413,CROSS-ORGANIZATIONAL PROGRAMME ANALYSES
1005169,PROGRAMME IMPLEMENTATION
1003360,INTERSECTORAL COOPERATION
1005170,PROGRAMME MANAGEMENT
1005173,PROGRAMME PRIORITIES
1001299,COORDINATION WITHIN UN SYSTEM
1003222,INNOCENT PASSAGE
1003919,MARINE MINERAL RESOURCES
1002170,EXCLUSIVE ECONOMIC ZONE
1005763,SEABED RESOURCES
1004915,PIONEER INVESTORS
1003433,ISLANDS
1001054,COASTAL STATES
1003607,LANDLOCKED STATES
1003922,MARINE RESOURCES
1001271,CONTIGUOUS ZONE
1002529,FREEDOM OF THE SEAS
1005761,SEABED
1005762,SEABED MINING
1003926,MARINE SCIENTIFIC RESEARCH
1003647,LAW OF THE SEA
1002363,FISHERIES
1001274,CONTINENTAL SHELF
1005812,SEMI-ENCLOSED SEAS
1000542,BASELINES
1003932,MARITIME BOUNDARIES
1006471,TERRITORIAL SEA
1000369,ARCHIPELAGIC STATES
1000019,ACCESS TO THE SEA
1002879,HIGH SEAS
1004568,OCEAN SPACE
1004593,OFFSHORE INSTALLATIONS
1002527,FREEDOM OF NAVIGATION
1006220,STRAITS USED FOR INTERNATIONAL NAVIGATION
1002144,EUROBOND MARKET
1005192,PROMISSORY NOTES
1001100,COMMERCIAL BANKS
1002334,FINANCIAL LIBERALIZATION
1001624,DEVELOPMENT FINANCE INSTITUTIONS
1002332,FINANCIAL INSTITUTIONS
1001370,CREDIT TRANSFER
1003378,INVESTMENT BANKING
1000519,BANK SECRECY
1001587,DERIVATIVE SECURITIES
1005479,RENT
1005381,REAL ESTATE INVESTMENT
1002325,FINANCE
1001109,COMMODITY-LINKED SECURITIES
1003377,INVESTMENT ANALYSIS
1004591,OFFSHORE BANKS
1004765,PAYMENTS
1003285,INTERNATIONAL CLEARING
1001368,CREDIT INSURANCE
1000886,CENTRAL BANKS
1004087,MICROCREDIT
1000808,CAPITAL MOVEMENT PROJECTIONS
1002465,FOREIGN INVESTMENTS
1001112,COMMODITY FUTURES
1000799,CAPITAL ASSETS
1005471,REMITTANCES
1002336,FINANCIAL POLICY
1001522,DEBT
1003260,INTEREST
1003383,INVESTMENT PROMOTION
1006210,STOCKHOLDERS
1000517,BANK RATES
1003307,INTERNATIONAL FINANCIAL INSTITUTIONS
1001365,CREDIT
1001369,CREDIT POLICY
1001259,CONSUMER CREDIT
1005386,RECEIVABLES FINANCING
1001102,COMMERCIAL CREDIT
1002550,FROZEN ASSETS
1000599,BILLS OF EXCHANGE
1000520,BANK SUPERVISION
1000691,BRETTON WOODS INSTITUTIONS
1000523,BANKING LAW
1003281,INTERNATIONAL BOND ISSUES
1006209,STOCK MARKETS
1003388,INVESTMENTS
1000803,CAPITAL FORMATION
1003384,INVESTMENT PROMOTION AGENCIES
1004767,PAYMENTS UNIONS
1001312,CORPORATE DEBT
1000514,BANK DEPOSITS
1002338,FINANCIAL RESEARCH
1000809,CAPITAL MOVEMENTS
1000807,CAPITAL MARKETS
1000361,ARBITRAGE
1002577,FUTURES MARKETS
1002333,FINANCIAL INSTRUMENTS
1005430,REGIONAL DEVELOPMENT BANKS
1001367,CREDIT CONTROLS
1001996,EMERGING MARKETS
1003785,LOANS
1000657,BONDS
1003382,INVESTMENT POLICY
1004822,PERSONAL LOANS
1000524,BANKING STATISTICS
1000924,CHEQUES
1004821,PERSONAL FINANCE
1002470,FOREIGN PORTFOLIO INVESTMENT
1004441,NON-FINANCIAL ASSETS
1000521,BANKERS' COMMERCIAL CREDITS
1002146,EUROCURRENCY CREDITS
1006725,TRUSTS
1000522,BANKING
1003376,INVESTMENT AGREEMENTS
1001718,DIVESTMENT
1002509,FOUNDATIONS
1006212,STOCKS
1003387,INVESTMENT TRUSTS
1000518,BANK RESERVES
1003242,INTANGIBLE ASSETS
1003279,INTERNATIONAL BANKING
1000595,BILATERAL PAYMENTS ARRANGEMENTS
1006794,UNIVERSAL UNIT OF ACCOUNT
1005539,REVOLVING FUNDS
1000806,CAPITAL INVESTMENTS
1002467,FOREIGN LOANS
1002947,HOUSING FINANCE INSTITUTIONS
1006928,WAREHOUSE RECEIPTS
1003328,INTERNATIONAL PAYMENTS
1001366,CREDIT CARDS
1004628,OPEN MARKET OPERATIONS
1001720,DIVIDENDS
1005783,SECURITIES
1005714,SAVINGS
1002935,HOUSEHOLD DEBT
1002342,FINANCIAL STATISTICS
1001620,DEVELOPMENT BANKS
1004366,NEGOTIABLE INSTRUMENTS
1000525,BANKING SYSTEMS
1003283,INTERNATIONAL CHEQUES
1002339,FINANCIAL RESOURCES
1004764,PAWNBROKING
1000126,AGRICULTURAL BANKS
1001371,CREDIT UNIONS
1006863,VENTURE CAPITAL
1002859,HEDGING
1003385,INVESTMENT RETURNS
1003696,LETTERS OF CREDIT
1002326,FINANCIAL ASPECTS
1001967,ELECTRONIC FUNDS TRANSFER
1002330,FINANCIAL FUTURES MARKETS
1003261,INTEREST RATES
1001372,CREDITWORTHINESS
1005715,SAVINGS BANKS
1000527,BANKS
1002275,FEDERAL RESERVE BANKS
1003379,INVESTMENT DISPUTES
1004766,PAYMENTS ARRANGEMENTS
1000802,CAPITAL CONTROLS
1000515,BANK LOANS
1003375,INVESTMENT ADVISERS
1000132,AGRICULTURAL CREDIT
1005540,REVOLVING LOAN FUNDS
1000798,CAPITAL
1003306,INTERNATIONAL FINANCE
1000844,CASH MANAGEMENT
1003230,INSIDER TRADING
1003122,INDUSTRIAL BANKS
1006641,TRANSNATIONAL BANKS
1006061,SOUTH AFRICA
1006364,TANGANYIKA
1001724,DJIBOUTI
1002050,ENGLISH-SPEAKING AFRICA
1000283,ANGOLA
1003829,MADAGASCAR
1006473,TERRITORIES UNDER FRENCH ADMINISTRATION
1001232,CONGO
1000675,BOTSWANA
1005046,PORTUGUESE-SPEAKING AFRICA
1000099,AFRICA
1000765,CABO VERDE
1003997,MAURITIUS
1005663,SAINT HELENA
1001821,EAST AFRICA
1007122,ZANZIBAR
1002578,GABON
1002678,GHANA
1004266,MOZAMBIQUE
1001930,EGYPT
1006788,UNITED REPUBLIC OF TANZANIA
1002793,GUINEA-BISSAU
1006536,TOGO
1005890,SIERRA LEONE
1000879,CENTRAL AFRICA
1006075,SOUTHERN RHODESIA
1004466,NORTH AFRICA
1002129,ETHIOPIA
1001156,COMOROS
1003518,KENYA
1005853,SEYCHELLES
1006538,TOGOLAND UNDER FRENCH ADMINISTRATION
1006070,SOUTH SUDAN
1003100,INDIAN OCEAN REGION
1000787,CAMEROONS UNDER BRITISH ADMINISTRATION
1004304,NAMIBIA
1007126,ZIMBABWE
1006474,TERRITORIES UNDER PORTUGUESE ADMINISTRATION
1000570,BENIN
1002109,ERITREA
1004236,MOROCCO
1003707,LIBERIA
1005651,RWANDA
1002105,EQUATORIAL GUINEA
1006785,UNITED ARAB REPUBLIC
1002581,GAMBIA
1000698,BRITISH INDIAN OCEAN TERRITORY
1005703,SAO TOME AND PRINCIPE
1000788,CAMEROONS UNDER FRENCH ADMINISTRATION
1001153,COMORIAN ISLAND OF MAYOTTE
1003694,LESOTHO
1006072,SOUTHERN AFRICA
1006737,TUNISIA
1007119,ZAMBIA
1001559,DEMOCRATIC REPUBLIC OF THE CONGO
1002278,FEDERATION OF MALI
1006759,UGANDA
1006048,SOMALIA
1000897,CHAD
1005616,RUANDA-URUNDI
1003993,MAURITANIA
1006537,TOGOLAND UNDER BRITISH ADMINISTRATION
1000881,CENTRAL AFRICAN REPUBLIC
1006992,WEST AFRICA
1000736,BURKINA FASO
1001339,CÔTE D'IVOIRE
1006997,WESTERN SAHARA
1004411,NIGER
1003856,MALI
1003846,MALAWI
1004472,NORTHEAST AFRICA
1006274,SUDANO-SAHELIAN REGION
1000233,ALGERIA
1006271,SUDAN
1000100,AFRICA SOUTH OF SAHARA
1005815,SENEGAL
1003735,LIBYA
1006325,ESWATINI
1006050,SOMALILAND UNDER ITALIAN ADMINISTRATION
1000737,BURUNDI
1002537,FRENCH-SPEAKING AFRICA
1004412,NIGERIA
1002792,GUINEA
1000785,CAMEROON
1002994,HUMANITARIAN INTERVENTION
1002992,HUMANITARIAN ASSISTANCE
1005212,PROTECTIVE MARKINGS
1005767,SEARCH AND RESCUE OPERATIONS
1007005,WHITE HELMETS
1003332,INTERNATIONAL RELIEF
1002993,HUMANITARIAN EMERGENCIES
1000320,ANTISEMITISM
1001698,DISCRIMINATION BASED ON WORK AND DESCENT
1000093,AFFIRMATIVE ACTION PROGRAMMES
1005311,RACIAL PROFILING
1000976,CHRISTIANOPHOBIA
1005794,SEGREGATION
1002773,GROUP HATRED
1007092,XENOPHOBIA
1003432,ISLAMOPHOBIA
1000318,ANTI-DISCRIMINATION MEASURES
1002611,GENDER DISCRIMINATION
1005850,SEXUAL HARASSMENT
1000111,AGE DISCRIMINATION
1002009,EMPLOYMENT DISCRIMINATION
1002100,EQUAL OPPORTUNITY
1002612,GENDER EQUALITY
1005310,RACIAL DISCRIMINATION
1001697,DISCRIMINATION
