id,en,ar,es,fr,ru,zh
140501,SOCIAL SCIENCE DISCIPLINES AND METHODOLOGIES,منهجيات وفروع العلوم الإجتماعية,DISCIPLINAS Y METODOS DE LAS CIENCIAS SOCIALES,DISCIPLINES ET METHODOLOGIES DES SCIENCES SOCIALES,ДИСЦИПЛИНЫ СОЦИАЛЬНЫХ НАУК И МЕТОДОЛОГИИ,社会科学科目和方法
140100,WOMEN'S ADVANCEMENT,نهوض بالمرأة,ADELANTO DE LA MUJER,PROMOTION DE LA FEMME,УЛУЧШЕНИЯ ПОЛОЖЕНИЯ ЖЕНЩИН,提高妇女地位
140503,SOCIAL DEVELOPMENT,تنمية إجتماعية,DESARROLLO SOCIAL,DEVELOPPEMENT SOCIAL,СОЦИАЛЬНОЕ РАЗВИТИЕ,社会发展
140300,GENEALOGY AND EMBLEMS,علم الأنساب والشعارات,GENEALOGIA Y EMBLEMAS,GENEALOGIE ET EMBLEMES,ГЕНЕАЛОГИЯ И ЭМБЛЕМЫ,家谱和徽章
140502,PSYCHOLOGY,علم نفس,PSICOLOGIA,PSYCHOLOGIE,ПСИХОЛОГИЯ,心理学
140201,DISCRIMINATION,تمييز,DISCRIMINACION,DISCRIMINATION,ДИСКРИМИНАЦИЯ,歧视
140202,HUMAN RIGHTS,حقوق الإنسان,DERECHOS HUMANOS,DROITS DE L'HOMME,ПРАВА ЧЕЛОВЕКА,人权
140504,WELFARE AND SOCIAL SERVICES,خدمات إجتماعية ورعاية,ASISTENCIA Y SERVICIOS SOCIALES,ASSISTANCE ET SERVICES SOCIAUX,СОЦИАЛЬНЫЕ ЗАЩИТА И УСЛУГИ,福利和社会服务
140401,NARCOTIC DRUGS,مخدرات,ESTUPEFACIENTES,STUPEFIANTS,НАРКОТИЧЕСКИЕ СРЕДСТВА,麻醉药品
110500,EDUCATIONAL PERSONNEL AND POPULATION,موظفو التعليم والسكان,PERSONAL DOCENTE Y POBLACION ESTUDIANTIL,PERSONNEL EDUCATIF ET ELEVES,РАБОТНИКИ ОБРАЗОВАНИЯ И НАСЕЛЕНИЕ,教育从业者和学生
110300,EDUCATIONAL SYSTEMS,النظم التربوية,SISTEMAS DE ENSEÑANZA,SYSTEMES D'ENSEIGNEMENT,СИСТЕМЫ ОБРАЗОВАНИЯ,教育系统
110400,NON-FORMAL EDUCATION,التعليم غير النظامي,EDUCACION NO FORMAL,EDUCATION NON-FORMELLE,НЕФОРМАЛЬНОЕ ОБРАЗОВАНИЕ,非正规教育
110100,EDUCATIONAL POLICY AND PLANNING,تخطيط وسياسة تعليمية,PLANIFICACION Y POLITICA DE LA EDUCACION,PLANIFICATION ET POLITIQUE DE L'EDUCATION,ПОЛИТИКА В ОБЛАСТИ И ПЛАНИРОВАНИЕ ОБРАЗОВАНИЯ,教育政策和规划
110200,EDUCATIONAL FACILITIES AND TECHNOLOGY,تقنيات ومرافق تعليمية,INSTALACIONES Y TECNOLOGIA EDUCATIVAS,EQUIPEMENTS EDUCATIFS ET TECHNIQUES DE L'EDUCATION,УЧРЕЖДЕНИЯ СИСТЕМЫ ОБРАЗОВАНИЯ И ТЕХНОЛОГИЯ,教育设备和技术
070000,TRADE (GENERAL MATERIALS),تجارة (مواد عامة),COMERCIO (MATERIAS GENERALES),COMMERCE GENERAL,ОБЩАЯ ТОРГОВЛЯ,贸易 (普通物资)
070201,TRADE IN COMMODITIES,تجارة السلع الأساسية,COMERCIO DE PRODUCTOS BASICOS,COMMERCE DES PRODUITS DE BASE,ТОРГОВЛЯ СЫРЬЕВЫМИ МАТЕРИАЛАМИ,商品贸易
070202,COMMODITIES,السلع الأساسية,PRODUCTOS BASICOS,PRODUITS DE BASE,СЫРЬЕВЫЕ МАТЕРИАЛЫ,商品
070300,TRADE IN MANUFACTURES; BARRIERS TO TRADE,تجارة بالمصنوعات ; حواجز معرقلة للتجارة,COMERCIO DE MANUFACTURAS; BARRERAS COMERCIALES,COMMERCE DES ARTICLES MANUFACTURES; BARRIERES COMMERCIALES,ТОРГОВЛЯ ГОТОВЫМИ ИЗДЕЛИЯМИ; ТОРГОВЫЕ БАРЪЕРЫ,制造业贸易; 贸易壁垒
070100,GENERAL INTERNATIONAL TRADE AND TRADE POLICY,تجارة دولية عامة وسياسة تجارية,COMERCIO INTERNACIONAL Y POLITICA COMERCIAL,COMMERCE INTERNATIONAL ET POLITIQUE COMMERCIALE,ОБЩАЯ МЕЖДУНАРОДНАЯ ТОРГОВЛЯ И ТОРГОВАЯ ПОЛИТИКА,一般国际贸易和贸易政策
070400,"TRADE PROMOTION, FACILITATION AND CUSTOMS ADMINISTRATION",ترويج التجارة والتسهيلات وإدارة الجمارك,"PROMOCION COMERCIAL, FACILITACION DEL COMERCIO Y ADMINISTRACION DE ADUANAS","PROMOTION DES ECHANGES, FACILITATION DU COMMERCE, ADMINISTRATION DOUANIERE","РАЗВИТИЕ И СОДЕЙСТВИЕ ТОРГОВЛЕ, ТАМОЖЕННАЯ АДМИНИСТРАЦИЯ",贸易促进，简化贸易手续和海关
070500,TRADE RELATED FINANCE,تمويل متعلق بالتجارة,FINANCIACION COMERCIAL,FINANCEMENT DES ACTIVITES RELATIVES AU COMMERCE,ФИНАНСИРОВАНИЕ ТОРГОВЛИ,贸易筹资
120300,CONDITIONS OF EMPLOYMENT,أوضاع العمالة,CONDICIONES DE EMPLEO,CONDITIONS D'EMPLOI,УСЛОВИЯ РАБОТЫ,就业条件
120100,EMPLOYMENT PROMOTION AND PLANNING,تخطيط وترقية العمالة,PROMOCION Y PLANIFICACION DEL EMPLEO,PROMOTION ET PLANIFICATION DE L'EMPLOI,ПООЩРЕНИЕ РАБОТЫ И ПЛАНИРОВАНИЕ,就业升职和规划
120200,SKILLS DEVELOPMENT,تنمية المهارات,CAPACITACION PROFESIONAL,DEVELOPPEMENT DES QUALIFICATIONS PROFESSIONNELLES,РАЗВИТИЕ РАБОЧИХ НАВЫКОВ,技能发展
120400,LABOUR RELATIONS,علاقات عمل,RELACIONES LABORALES,RELATIONS DU TRAVAIL,ТРУДОВЫЕ ОТНОШЕНИЯ,劳动关系
120600,SPECIAL CATEGORIES OF WORKERS,فئات خاصة من العمال,CATEGORIAS ESPECIFICAS DE TRABAJADORES,CATEGORIES SPECIFIQUES DE TRAVAILLEURS,ОСОБЫЕ КАТЕГОРИИ ТРУДЯЩИХСЯ,工人的特殊类别
120500,OCCUPATIONS,مهن,PROFESIONES,PROFESSIONS,ПРОФЕССИИ,职业
050102,INDUSTRIAL PROPERTY,ملكية صناعية,PROPIEDAD INDUSTRIAL,PROPRIETE INDUSTRIELLE,ПРОМЫШЛЕННАЯ СОБСТВЕННОСТЬ,工业产权
050900,TOURISM AND RELATED SERVICES,سياحة والخدمات المتعلقة بها,TURISMO Y SERVICIOS CONEXOS,TOURISME ET SERVICES CONNEXES,ТУРИЗМ И СООТВЕТСТВУЮЩИЕ УСЛУГИ,旅游和相关服务
050101,INDUSTRIAL DEVELOPMENT SUPPORT SERVICES,خدمات دعم التنمية الصناعية,DESARROLLO INDUSTRIAL Y SERVICIOS DE APOYO,SERVICES D'APPUI AU DEVELOPPEMENT INDUSTRIEL,СЛУЖБА ПОДДЕРЖКИ ПРОМЫШЛЕННОГО РАЗВИТИЯ,工业发展支助事务
050700,FOOD INDUSTRY,صناعات غذائية,INDUSTRIA ALIMENTARIA,INDUSTRIES ALIMENTAIRES,ПИЩЕВАЯ ПРОМЫШЛЕННОСТЬ,食品工业
050500,CONSTRUCTION INDUSTRY AND ENGINEERING,صناعة البناء والهندسة,INDUSTRIA E INGENIERIA DE LA CONSTRUCCION,INDUSTRIES ET TECHNIQUES DE LA CONSTRUCTION,СТРОИТЕЛЬНАЯ ПРОМЫШЛЕННОСТЬ И ТЕХНИКА,建筑业和工程
050400,CHEMICAL INDUSTRY AND PHARMACEUTICALS,صناعات كيميائية وأدوية,INDUSTRIAS QUIMICA Y FARMACEUTICA,INDUSTRIES CHIMIQUE ET PHARMACEUTIQUE,ХИМИЧЕСКАЯ ИНДУСТРИЯ И ФАРМАЦЕВТИЧЕСКИЕ ПРОДУКТЫ,化学工业和制药
050800,INSURANCE,تأمين,SEGUROS,ASSURANCES,СТРАХОВАНИЕ,保险
051000,WASTE DISPOSAL,التخلص من النفايات,ELIMINACION DE DESECHOS,ELIMINATION DES DECHETS,УДАЛЕНИЕ ОТХОДОВ,废物处置
050000,INDUSTRIAL SECTOR,قطاع صناعي,SECTOR INDUSTRIAL,SECTEUR INDUSTRIEL,ПРОМЫШЛЕННЫЙ СЕКТОР,工业部门
050300,MANUFACTURING AND MINING INDUSTRIES AND PRODUCTS,صناعات تحويلية وتعدين ومنتجاتها,INDUSTRIAS MANUFACTURERA Y MINERA,FABRICATION INDUSTRIELLE ET INDUSTRIE MINIERE,ПРОИЗВОДСТВО И ПРОДУКТЫ ГОРНОЙ ПРОМЫШЛЕННОСТИ,制造业和采矿业及其产品
050600,ELECTRONICS AND POWER INDUSTRIES,صناعات الإلكترونيات والطاقة,INDUSTRIAS ELECTRONICA Y ENERGETICA,INDUSTRIES ELECTRONIQUE ET ENERGETIQUE,ЭЛЕКТРОНИКА И ЭЛЕКТРИЧЕСКАЯ ПРОМЫШЛЕННОСТЬ,电子工业和电力工业
050200,MANAGEMENT,الإدارة,GESTION,GESTION,УПРАВЛЕНИЕ,管理
150600,"LEISURE, RECREATION AND SPORTS",رياضة وترويح واستجمام,RECREACION Y DEPORTES,LOISIRS ET SPORTS,"ДОСУГ, ОТДЫХ И СПОРТ",休闲，娱乐和体育运动
150102,"ART, LITERATURE AND MUSIC",فن وأدب وموسيقى,"ARTES, LITERATURA Y MUSICA","ARTS, LITTERATURE ET MUSIQUE","ИСКУССТВО, ЛИТЕРАТУРА И МУЗЫКА",艺术，文学和音乐
150400,COMMUNICATION AND MASS MEDIA,إتصالات ووسائط إعلام,COMUNICACION Y MEDIOS DE COMUNICACION DE MASAS,COMMUNICATION ET MOYENS DE COMMUNICATION DE MASSE,СВЯЗЬ И СРЕДСТВА МАССОВОЙ ИНФОРМАЦИИ,新闻传播和大众媒体
150500,"DOCUMENTATION, LIBRARY AND INFORMATION SCIENCES AND REFERENCE WORKS",علم المعلومات والمكتبات والتوثيق والأعمال المرجعية,"DOCUMENTACION, BIBLIOTECOLOGIA, CIENCIA DE LA INFORMACION, MATERIAL DE REFERENCIA","DOCUMENTATION, BIBLIOTECHONOMIE, SCIENCES DE L'INFORMATION, OUVRAGES DE REFERENCE","ДОКУМЕНТАЦИЯ, БИБЛИОТЕКОВЕДЕНИЕ, ИНФОРМАТИКА И СПРАВОЧНЫЕ МАТЕРИАЛЫ",文献，图书馆和信息科学以及参考书
150300,PHILOSOPHY AND RELIGION,فلسفة ودين,FILOSOFIA Y RELIGION,PHILOSOPHIES ET RELIGIONS,ФИЛОСОФИЯ И РЕЛИГИЯ,哲学和宗教
150000,CULTURAL DEVELOPMENT,تنمية ثقافية,DESARROLLO CULTURAL,DEVELOPPEMENT CULTUREL,КУЛЬТУРНОЕ РАЗВИТИЕ,文化发展
150101,LANGUAGE,لغة,LENGUAS,LANGUES,ЯЗЫК,语言
150200,PROTECTION OF INTELLECTUAL AND CULTURAL PROPERTY,حماية الملكية الفكرية والثقافية,PROTECCION DE LA PROPIEDAD INTELECTUAL Y DE LOS BIENES CULTURALES,PROTECTION DE LA PROPRIETE INTELLECTUELLE ET DES BIENS CULTURELS,ЗАЩИТА ИНТЕЛЛЕКТУАЛЬНОЙ И КУЛЬТУРНОЙ СОБСТВЕННОСТИ,保护知识产权和文化财产
060500,POSTAL SERVICES,خدمات بريدية,SERVICIOS POSTALES,SERVICES POSTAUX,ПОЧТОВАЯ СЛУЖБА,邮政服务
060102,TRANSPORT OPERATIONS,عمليات النقل,OPERACIONES DE TRANSPORTE,OPERATIONS DE TRANSPORT,ТРАНСПОРТНЫЕ ОПЕРАЦИИ,运输业务
060300,LAND TRANSPORT,نقل بري,TRANSPORTE TERRESTRE,TRANSPORT TERRESTRE,НАЗЕМНЫЙ ТРАНСПОРТ,陆运
060400,WATER TRANSPORT AND SHIPPING,نقل مائي وشحن بحري,TRANSPORTE MARITIMO Y POR VIAS NAVEGABLES,TRANSPORT MARITIME ET PAR VOIES NAVIGABLES,ВОДНЫЙ ТРАНСПОРТ И ПЕРЕВОЗКА,水运和船运
060101,TRANSPORT POLICY AND PLANNING,تخطيط وسياسة النقل,POLITICA Y PLANIFICACION DEL TRANSPORTE,POLITIQUE ET PLANIFICATION DES TRANSPORTS,ПОЛИТИКА В ОБЛАСТИ ТРАНСПОРТА И ТРАНСПОРТНОЕ ПЛАНИРОВАНИЕ,运输政策和规划
060600,TELECOMMUNICATIONS,إتصالات سلكية ولاسلكية,TELECOMUNICACIONES,TELECOMMUNICATIONS,СВЯЗЬ,电信
060200,AIR TRANSPORT,النقل الجوي,TRANSPORTE AEREO,TRANSPORT AERIEN,ВОЗДУШНЫЙ ТРАНСПОРТ,空运
180703,RECOMMENDATIONS,توصيات,RECOMENDACIONES,RECOMMANDATIONS,РЕКОМЕНДАЦИИ,建议 
180400,FINANCING,تمويل,FINANCIACION,FINANCEMENT,ФИНАНСИРОВАНИЕ,财政
180702,DOCUMENTS,وثائق,DOCUMENTOS,DOCUMENTS,ДОКУМЕНТЫ,文件
180100,INTERNATIONAL CIVIL SERVICE,خدمة مدنية دولية,ADMINISTRACION PUBLICA INTERNACIONAL,FONCTION PUBLIQUE INTERNATIONALE,МЕЖДУНАРОДНАЯ ГРАЖДАНСКАЯ СЛУЖБА,国际公务员
180600,OPERATIONAL ACTIVITIES,أنشطة تنفيذية,ACTIVIDADES OPERACIONALES,ACTIVITES OPERATIONNELLES,ОПЕРАТИВНАЯ ДЕЯТЕЛЬНОСТЬ,业务活动
180200,ORGANIZATIONAL STRUCTURE,الهيكل التنظيمي,ESTRUCTURAS DE ORGANIZACION,STRUCTURE DES ORGANISATIONS,ОРГАНИЗАЦИОННАЯ СТРУКТУРА,组织结构
180500,PROGRAMME PLANNING,تخطيط البرامج,PLANIFICACION DE PROGRAMAS,PLANIFICATION DES PROGRAMMES,ПРОГРАММА ПЛАНИРОВАНИЯ,项目规划
180701,CONFERENCES,مؤتمرات,CONFERENCIAS,CONFERENCES,КОНФЕРЕНЦИИ,会议
180300,ADMINISTRATION,شؤون الإدارة,ADMINISTRACION,ADMINISTRATION,АДМИНИСТРАЦИЯ,行政
010700,GENERAL AND NATIONAL LAW,قانون عام ووطني,DERECHO,DROIT,ОБЩЕЕ И НАЦИОНАЛЬНОЕ ПРАВО,普通法和国内法
010400,DISARMAMENT AND MILITARY QUESTIONS,نزع السلاح ومسائل عسكرية,DESARME Y CUESTIONES MILITARES,DESARMEMENT ET QUESTIONS MILITAIRES,РАЗОРУЖЕНИЕ И ВОЕННЫЕ ВОПРОСЫ,裁军和军事问题
010500,"DECOLONIZATION, TRUSTEESHIP AND APARTHEID","القضاء على الإستعمار, الوصاية والفصل العنصري","DESCOLONIZACION, ADMINISTRACION FIDUCIARIA Y APARTHEID","DECOLONISATION, TUTELLE ET APARTHEID","ДЕКОЛОНИЗАЦИЯ, ОПЕКА И АПАРТЕИД",非殖民化，托管和种族隔离
010602,HISTORICAL PERIODS,فترات تاريخية,EPOCAS HISTORICAS,EPOQUES HISTORIQUES,ИСТОРИЧЕСКИЕ ПЕРИОДЫ,历史时期
010701,INTERNATIONAL LAW,قانون دولي,DERECHO INTERNACIONAL,DROIT INTERNATIONAL,МЕЖДУНАРОДНОЕ ПРАВО,国际法
010703,LAW OF THE SEA,قانون البحار,DERECHO DEL MAR,DROIT DE LA MER,МОРСКОЕ ПРАВО,海洋法
010704,LAW OF WAR,قانون الحرب,DERECHO DE GUERRA,DROIT DE LA GUERRE,ЗАКОНЫ И ОБЫЧАИ ВОЙНЫ,战争法
010601,POLITICAL EVENTS AND ISSUES,أحداث وقضايا سياسية,CUESTIONES Y ACONTECIMIENTOS POLITICOS,EVENEMENTS ET QUESTIONS POLITIQUES,ПОЛИТИЧЕСКИЕ СОБЫТИЯ И ВОПРОСЫ,政治事件和问题
010200,INTERNATIONAL RELATIONS,علاقات دولية,RELACIONES INTERNACIONALES,RELATIONS INTERNATIONALES,МЕЖДУНАРОДНЫЕ ОТНОШЕНИЯ,国际关系
010300,MAINTENANCE OF PEACE AND SECURITY,حفظ السلم والأمن,MANTENIMIENTO DE LA PAZ Y DE LA SEGURIDAD,MAINTIEN DE LA PAIX ET DE LA SECURITE,ПОДДЕРЖАНИЕ МИРА И БЕЗОПАСНОСТИ,维持和平和安全
010702,INTERNATIONAL TRADE LAW,قانون تجاري دولي,DERECHO MERCANTIL INTERNACIONAL,DROIT COMMERCIAL INTERNATIONAL,ПРАВО МЕЖДУНАРОДНОЙ ТОРГОВЛИ,国际贸易法
010100,"POLITICAL CONDITIONS, INSTITUTIONS, MOVEMENTS","أوضاع سياسية, مؤسسات, حركات",INSTITUCIONES Y MOVIMIENTOS POLITICOS,INSTITUTIONS ET MOUVEMENTS POLITIQUES,"ПОЛИТИЧЕСКИЕ УСЛОВИЯ, ИНСТИТУТЫ, ДВИЖЕНИЯ",政治条件，制度，运动
090200,HOUSING,إسكان,VIVIENDA,LOGEMENT,ЖИЛЬЕ,住房
090100,SETTLEMENT PLANNING,تخطيط المستوطنات,PLANIFICACION DE LOS ASENTAMIENTOS HUMANOS,PLANIFICATION DES ETABLISSEMENTS HUMAINS,ПЛАНИРОВАНИЕ НАСЕЛЕННЫХ ПУНКТОВ,住区规划
100200,COMPREHENSIVE HEALTH SERVICES,خدمات صحية شاملة,SERVICIOS DE SALUD,SERVICES DE SANTE,ОБЩЕЕ ЗДРАВООХРАНЕНИЕ,全面健康服务
100400,ENVIRONMENTAL HEALTH,صحة بيئية,HIGIENE AMBIENTAL,HYGIENE DU MILIEU,САНИТАРНОЕ СОСТОЯНИЕ ОКРУЖАЮЩЕЙ СРЕДЫ,环境卫生
100302,DISEASES AND CARRIERS OF DISEASES,أمراض وناقلات أمراض,ENFERMEDADES Y VECTORES DE ENFERMEDADES,MALADIES ET VECTEURS DE MALADIES,БОЛЕЗНИ И РАЗНОСЧИКИ БОЛЕЗНЕЙ,疾病和带菌者
100301,DISEASE PREVENTION AND CONTROL,وقاية من الأمراض ومكافحتها,PROFILAXIS Y LUCHA CONTRA LAS ENFERMEDADES,"PREVENTION, LUTTE CONTRE LES MALADIES",ПРОФИЛАКТИКА И КОНТРОЛЬ ЗАБОЛЕВАНИЙ,疾病防治
100500,PERSONS WITH DISABILITIES,الأشخاص ذوي الإعاقة,PERSONAS CON DISCAPACIDAD,PERSONNES HANDICAPEES,"Лица, имеющие инвалидность",残疾人
100602,MEDICAL SCIENCES,علوم طبية,CIENCIAS MEDICAS,SCIENCES MEDICALES,МЕДИЦИНСКИЕ НАУКИ,医学科学
100100,FOOD AND NUTRITION,غذاء وتغذية,ALIMENTOS Y NUTRICION,ALIMENTS ET NUTRITION,ЕДА И ПИТАНИЕ,粮食和营养
100601,MEDICAL PRACTICE,ممارسة الطب,MEDICINA,MEDECINE,МЕДИЦИНСКАЯ ПРАКТИКА,医疗实践
030102,CARTOGRAPHY,رسم الخرائط,CARTOGRAFIA,CARTOGRAPHIE,КАРТОГРАФИЯ,制图
030103,LAND FORMS AND ECOSYSTEMS,أشكال الأرض والنظم الأيكولوجية,FORMAS FISIOGRAFICAS Y ECOSISTEMAS,FORMATIONS GEOLOGIQUES ET ECOSYSTEMES,ОЧЕРТАНИЯ СУШИ И ЭКОСИСТЕМЫ,地形和生态系统
030300,ENVIRONMENT,بيئة,MEDIO AMBIENTE,ENVIRONNEMENT,ОКРУЖАЮЩАЯ СРЕДА,环境
030400,POLLUTION,تلوث,CONTAMINACION,POLLUTION,ЗАГРЯЗНЕНИЕ,污染
030800,MARINE RESOURCES,موارد بحرية,RECURSOS MARINOS,RESSOURCES MARINES,МОРСКИЕ РЕСУРСЫ,海洋资源
031000,ENERGY RESOURCES,موارد الطاقة,RECURSOS ENERGETICOS,RESSOURCES ENERGETIQUES,ЭНЕРГЕТИЧЕСКИЕ РЕСУРСЫ,能源
030700,WILDLIFE,أحياء برية,FAUNA SILVESTRE,VIE SAUVAGE,ДИКАЯ ПРИРОДА,野生动物
030900,MINERAL RESOURCES,موارد معدنية,RECURSOS MINERALES,RESSOURCES MINERALES,МИНЕРАЛЬНЫЕ РЕСУРСЫ,矿物资源
030500,WATER,مياه,AGUA,EAU,ВОДА,水
030600,"LAND, PLANT AND SOIL RESOURCES",موارد التربة والنبات والأرض,"TIERRAS, RECURSOS VEGETALES Y SUELOS","TERRAINS, RESSOURCES VEGETALES, SOLS","ЗЕМЕЛЬНЫЕ, РАСТИТЕЛЬНЫЕ И ПОЧВЕННЫЕ РЕСУРСЫ",地，植物和土壤资源
030101,GEOGRAPHY,جغرافيا,GEOGRAFIA,GEOGRAPHIE,ГЕОГРАФИЯ,地理
030200,RESOURCES (GENERAL),موارد (عامة),RECURSOS NATURALES,RESSOURCES NATURELLES,РЕСУРСЫ (ОБЩЕЕ),资源 （一般意义上的）
040300,LIVESTOCK,ماشية,GANADO,CHEPTEL,СКОТ,牲畜
